iter	Passed	Remaining
0	159	15749
1	331	16264
2	494	15981
3	654	15698
4	806	15320
5	948	14856
6	1087	14443
7	1224	14083
8	1367	13829
9	1508	13575
10	1651	13360
11	1804	13234
12	1947	13031
13	2085	12811
14	2234	12662
15	2391	12557
16	2538	12395
17	2681	12217
18	2824	12041
19	2963	11855
20	3100	11665
21	3241	11493
22	3385	11334
23	3537	11201
24	3679	11039
25	3818	10868
26	3954	10691
27	4094	10529
28	4233	10365
29	4376	10212
30	4516	10051
31	4652	9886
32	4786	9718
33	4923	9557
34	5061	9399
35	5200	9245
36	5339	9091
37	5477	8937
38	5621	8792
39	5774	8661
40	5933	8537
41	6085	8404
42	6285	8331
43	6439	8195
44	6594	8059
45	6748	7921
46	6902	7783
47	7054	7642
48	7209	7503
49	7365	7365
50	7516	7221
51	7659	7070
52	7803	6920
53	7949	6771
54	8106	6632
55	8253	6485
56	8402	6338
57	8553	6193
58	8704	6049
59	8848	5898
60	8996	5751
61	9143	5604
62	9287	5454
63	9439	5309
64	9665	5204
65	9812	5054
66	9954	4902
67	10097	4751
68	10239	4600
69	10382	4449
70	10533	4302
71	10675	4151
72	10818	4001
73	10958	3850
74	11099	3699
75	11242	3550
76	11384	3400
77	11528	3251
78	11667	3101
79	11809	2952
80	11955	2804
81	12099	2656
82	12246	2508
83	12386	2359
84	12529	2211
85	12670	2062
86	12809	1914
87	12952	1766
88	13097	1618
89	13236	1470
90	13377	1323
91	13517	1175
92	13657	1027
93	13797	880
94	13936	733
95	14077	586
96	14216	439
97	14355	292
98	14509	146
99	14650	0
